rule_id,indicator_name,tp,fp,tn,fn,precision,recall,f1,support,trigger_rate_pct,status
RF-1,Single Bidder Tender,434,4,396,1157,0.9909,0.2728,0.4278,1591,22.0,EVALUATED
RF-2,Vendor Departmental Dominance (Lock-in >= 60%),15,3,397,1576,0.8333,0.0094,0.0186,1591,0.9,EVALUATED
RF-3,Approval Threshold Smurfing,114,4,396,1477,0.9661,0.0717,0.1334,1591,5.93,EVALUATED
RF-4,Compressed Tender Window (< 7 days),740,15,385,851,0.9801,0.4651,0.6309,1591,37.92,EVALUATED
RF-5,Price Estimate Deviation (> 30%),829,56,344,762,0.9367,0.5211,0.6696,1591,44.45,EVALUATED
RF-6,Repeat Winner Pattern (>= 3 wins),1431,138,262,160,0.912,0.8994,0.9057,1591,78.8,EVALUATED
RF-7,Specification Tailoring (NLP Similarity),0,0,0,0,NOT_EVALUABLE_DUE_TO_SOURCE_DATA,NOT_EVALUABLE_DUE_TO_SOURCE_DATA,NOT_EVALUABLE_DUE_TO_SOURCE_DATA,0,0.0,NOT_EVALUABLE_DUE_TO_SOURCE_DATA
RF-8,Unusual Contract Extensions,0,0,0,0,NOT_EVALUABLE_DUE_TO_SOURCE_DATA,NOT_EVALUABLE_DUE_TO_SOURCE_DATA,NOT_EVALUABLE_DUE_TO_SOURCE_DATA,0,0.0,NOT_EVALUABLE_DUE_TO_SOURCE_DATA
