model_name,test_accuracy,test_precision,test_precision_95_ci,test_recall,test_recall_95_ci,test_f1,test_f1_95_ci,test_roc_auc,test_pr_auc,cv_mean_f1,cv_std_f1,cv_mean_precision,cv_mean_recall
Majority Baseline,0.8133333333333334,0.8133333333333334,"(0.77, 0.8551)",1.0,"(1.0, 1.0)",0.8970588235294118,"(0.8701, 0.9219)",0.5,0.8133333333333334,0.8883,0.0001,0.7991,1.0
Random Baseline,0.49,0.8053691275167785,"(0.7423, 0.8656)",0.4918032786885246,"(0.4274, 0.5499)",0.6106870229007634,"(0.5495, 0.6625)",0.5,0.8133333333333334,0.608,0.0074,0.7872,0.4953
Logistic Regression (L2),0.9566666666666667,0.9753086419753086,"(0.9519, 0.992)",0.9713114754098361,"(0.948, 0.9882)",0.973305954825462,"(0.9571, 0.9875)",0.9804596018735363,0.9952815581772869,0.9662,0.0028,0.9709,0.9617
Random Forest,1.0,1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,1.0,1.0,0.0,1.0,1.0
Gradient Boosting (Hist),1.0,1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,1.0,1.0,0.0,1.0,1.0
Isolation Forest (Unsupervised),0.23666666666666666,0.8260869565217391,"(0.653, 0.9565)",0.0778688524590164,"(0.0455, 0.1129)",0.14232209737827714,"(0.0859, 0.2007)",0.4717505854800937,0.8141412745201788,0.2122,0.0315,0.8363,0.1219
PARAKH Rule-Based Engine,1.0,1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,0.9999999999999999,1.0,0.0,1.0,1.0
Hybrid PARAKH (Rules + ML),0.9733333333333334,0.987603305785124,"(0.9719, 1.0)",0.9795081967213115,"(0.9628, 0.996)",0.9835390946502057,"(0.9724, 0.9937)",0.9979508196721312,0.9995275956692203,0.9903,0.0023,0.99,0.9906
